Date,NSA Value
1975-01-31,31.322153201
1975-02-28,31.808090118
1975-03-31,32.31999515
1975-04-30,32.845933824
1975-05-31,33.354786123
1975-06-30,33.840685236
1975-07-31,34.309436613
1975-08-31,34.741732691
1975-09-30,35.110433256
1975-10-31,35.379704076
1975-11-30,35.553098138
1975-12-31,35.6676936
1976-01-31,35.763022127
1976-02-29,35.88992258
1976-03-31,36.07833515
1976-04-30,36.330964392
1976-05-31,36.666209374
1976-06-30,37.123928094
1976-07-31,37.695979118
1976-08-31,38.319512688
1976-09-30,38.962741129
1976-10-31,39.616351783
1976-11-30,40.227092963
1976-12-31,40.718680865
1977-01-31,41.087572094
1977-02-28,41.393099793
1977-03-31,41.675872894
1977-04-30,41.956252041
1977-05-31,42.2766602
1977-06-30,42.736894568
1977-07-31,43.402227633
1977-08-31,44.18201515
1977-09-30,44.918035087
1977-10-31,45.550357717
1977-11-30,46.138008417
1977-12-31,46.743284261
1978-01-31,47.413073179
1978-02-28,48.14234247
1978-03-31,48.870401512
1978-04-30,49.538795546
1978-05-31,50.145529816
1978-06-30,50.754691346
1978-07-31,51.308366732
1978-08-31,51.718851899
1978-09-30,52.065125569
1978-10-31,52.470303723
1978-11-30,53.000142026
1978-12-31,53.658520475
1979-01-31,54.397519633
1979-02-28,55.246669512
1979-03-31,56.298991439
1979-04-30,57.577071623
1979-05-31,58.954650059
1979-06-30,60.269718382
1979-07-31,61.381431527
1979-08-31,62.13019692
1979-09-30,62.482101333
1979-10-31,62.577946111
1979-11-30,62.603218668
1979-12-31,62.661537945
1980-01-31,62.699103418
1980-02-29,62.658978709
1980-03-31,62.603434048
1980-04-30,62.55314416
1980-05-31,62.524551457
1980-06-30,62.565331204
1980-07-31,62.693053159
1980-08-31,62.851078055
1980-09-30,62.970033134
1980-10-31,63.067941484
1980-11-30,63.191155396
1980-12-31,63.364680496
1981-01-31,63.592925922
1981-02-28,63.872937679
1981-03-31,64.234242631
1981-04-30,64.739349054
1981-05-31,65.440637825
1981-06-30,66.251563635
1981-07-31,66.928306128
1981-08-31,67.344141665
1981-09-30,67.556889447
1981-10-31,67.675146421
1981-11-30,67.795365165
1981-12-31,67.957405738
1982-01-31,68.139340702
1982-02-28,68.287136205
1982-03-31,68.360640388
1982-04-30,68.350160859
1982-05-31,68.271117375
1982-06-30,68.131611318
1982-07-31,67.918699391
1982-08-31,67.661976366
1982-09-30,67.401367726
1982-10-31,67.165834753
1982-11-30,67.008143414
1982-12-31,66.958069803
1983-01-31,66.986643896
1983-02-28,66.981775012
1983-03-31,66.79669905
1983-04-30,66.41123801
1983-05-31,65.939610735
1983-06-30,65.424011047
1983-07-31,64.895745541
1983-08-31,64.468675702
1983-09-30,64.215977302
1983-10-31,64.158668145
1983-11-30,64.266780582
1983-12-31,64.400029541
1984-01-31,64.399785762
1984-02-29,64.224855495
1984-03-31,63.912572861
1984-04-30,63.553414018
1984-05-31,63.259774779
1984-06-30,63.059908929
1984-07-31,62.917226247
1984-08-31,62.805637261
